,Arabia,EB77,"land,ground,earth: desert,wilderness: no,not: plant,tree,wood"
,Aram,E342,Man: big
,Aram_man,EDB4,Man: big
,Aram_Naharaim,EB72,River: land
,Aran,E0FA,Man: small: goat: sheep: soft: bone
,Ararat,EDB5,"Accuse: mouth,said,speak,confession: bad; no,not; good: mountain"
,Archippus,ECE7,Man: good: horse
,Ard,E0FF,Man: many; child: small: person
,Areli,EFAC,"Man: beast: animal: bad: no,not: good"
,Areopagus,EC35,"council: body: lead,leader: to,forward: person: hill: small,few: mountain"
,Aretas,ECA6,"Man: big: war,fight,battle"
,argument,E057,"mouth,said,speak: wild: no,not: peace: rest,sleep,lie_down: love,compassion"
,Arimathea,E34D,"cross: house: not,no: heart: land,ground,earth"
,Arioch,EDB6,Man: lion: hair: face: animal
,arise,E322,Up: straight
,Aristarchus,EC10,"man: good: crown,ruler,king,lord"
,Aristobulus,EBBC,"man: equal,same: mouth,said,speak"
,Arkites,EDB7,Run: walk: very: people
,arm,E14E,big
,armor,EBBD,metal: body: person
,army,E148,"soldier: person: war,fight,battle: many"
,Arni,EC52,"man: good: happy,joy"
,Arodi,E168,Man: very: donkey: small: horse
,around,E31B,
,Arphaxad,EC53,"man: no,not: hand"
,arrest,E25F,
,arrow,ECBF,"Throw: knife,cut"
,Artemas,EC34,"man: very: all,whole"
,Arvad,EDB8,"Fast_speed: very: to,forward: ground,land,earth"
,Asa,EA5C,"man: hand: happy,joy: heart"
,ascend,E322,Up: straight
,Asenath,EFAD,"woman: heart: bad: no,not: good"
,ash,EA90,"no,not: good: air"
,ashamed,E05F,"no,not: mouth: heart"
,Ashbel,EFAE,Man: eat: mouth: thing: fire
,Asher,EBDE,"Man: happy,joy: face"
,Ashhur,EBDD,Man: happy: face: land
,Ashkenaz,EDB9,"Man: cold: no,not: fire,heat,hot"
,Ashteroth_Karnaim,EDBA,"Cow: land,earth,ground"
,Ashur_land,E0EF,
,Ashur_man,EDBB,
,Asia,EB6F,"direction: land,ground,earth"
,ask,E061,"Mouth,said,speak,confession: ?"
,Asshurites,E1EF,Many: war: people
,Assos,EB20,near: village: many: neighbor: house
,assurance,E070,"know,knowledge: know,knowledge"
,Assyria,EDBC,"Up: grow: ground,land,earth"
,Asyncritius,EBBE,"man: go,travel,journey"
,Atad,EFAF,"Horn: bone: head: face; village: many,much: neighbor: house: near,"
,Athens,EB07,"ignorant,ignorance: village: many: neighbor: house: near"
ë,Attalia,EB,"time,when: village: many: neighbor: house: near"
,attendant,E150,person: straight: people
,author,E12C,"person: write,pen"
,authority,E034,"crown,ruler,king,lord: mouth,said,speak"
,avenge,ED0C,"Backward: Hand: equal,same"
,Avith,EFEA,"Man: small,few: old: no,not: new"
,awake,EC54,"end,finish: rest,sleep,lie_down"
,away,E11E,thing
,Azor,EA6C,"man: person: help: attendant,helper: straight: people"
,Azotus,EB7E,"praise,worship: mouth,said,speak: good: plant,tree,wood: village: many: neighbor: house: near"
,Baal,EBBF,"have: hand: .: silence,quiet: mouth,said,speak: no,not: thing"
,Baal_Hanan,E169,Man: very: no: knife
,Babel,EA67,Ignorant: know: no: land
,baby,E0A6,"very: small,few: person"
,Babylon,EA67,"no: knowledge,know: land,ground,earth: ignorant,ignorance,confuse"
,backward,E325,
,bad,E17D,"no,not: good"
,bag,E26F,soft: box
,Balaam,ECA1,"Man: prophesy: to,forward: small,few: horse"
,Balak,EBFF,"Man: bad: no,not: good: king,ruler,crown,lord,master"
,bank,EC55,"house: money,wealth,wealthy: hand"
,baptism,E24A,"wet,water: person"
Sy: ,baptize,E24A,"wet,water: person"
,Barabbas,E36D,"man: kill,destroy: knife,cut: person"
,Barachiah,EA97,"man: happy,joy: many"
,Barak,ED02,Man: storm
,Barnabas,EC2F,"man: free,freedom: heart"
,Barsabbas,EB69,"man: wet,water"
,Bartholomew,E362,"man: up: water,wet"
,Bartimaeus,E36B,"man: no,not: see,eye: blind"
,Basemath,EDBD,"Woman: fragrant,perfume: good: nose"
,basket,E19F,"small,few: net"
,battle,E283,
,bear,ECEF,Shield: animal
,bear_with,E227,"very: with: equal,same: people"
,beast,E103,"animal: no,not: good"
,beat,E0E4,"hand: hurt,pain: knife,cut: heart"
,beautiful,EA4A,"good: eye,see"
,beauty,EA4A,"good: eye,see"
,because,E066,"know,knowledge: ?"
,beckon,E040,"mouth,said,speak: near"
,become_person,E83A,"change,turn: person"
,become_thing,E839,"change,turn: thing"
,bed,E122,"rest,sleep,lie_down: straight"
,Bedad,E1EE,Man: same: part
,Beelzebul,E335,"big: no,not: good: spirit: person: satan"
,Beer_Lahai_Roi,EEF9,"Eye,see: well: water,wet: hole"
,Beeri,EDBE,Man: hole
,Beersheba,EDBF,"Promise: mouth,said,speak,confession: work,do: village: many,much: neighbor: house: near"
,before,E107,backward: thing
,beg,E21E,"very: mouth,said,speak: love,compassion: heart"
,beginning,E231,
,behind,E116,thing: thing
,Beker,EFB1,Man: camel
,Bela_man,E1ED,Man: king: near
,Bela_village,EDC1,Eat: mouth: thing: village: many: neighbor: house: near
,believe,E06F,"know,knowledge: cross"
,Believer,EB90,"follow: people: to,forward: crown,ruler,king,lord: cross"
,belt,E29D,
,Ben_Ammi,EDC2,Man: big: people
,Ben_oni,E1A4,OT: man: man
,Benjamin,EB4B,man: hand
,Beor,EDA3,Man: very: fire
,Bera,EDC3,"Man: bad: no,not: good"
,Berea,EB13,"no,not: walk: village: many: neighbor: house: near"
,Bered_city,E2D0,Hail_storm: cloud: soft: thing: hard: soft: no: village: many: neighbor: house: near
,Bered_man,EFB2,Man: hail_storm: cloud: soft: thing: hard: soft: no
,Beriah,EFB3,"Man: heart: bad: no,not: good"
,Bernice,EB9E,"woman: prevail,triumph,victory: crown,ruler,king,lord: war,fight,battle"
,beside,E117,thing: .
,best,E21F,very : good
,Bethany,E349,"house: hurt,pain: knife,cut: heart: village: many: neighbor,near,house"
,Bethel,EDC4,Village: many: neighborhood: house: near
,Bethesda,EBA0,"love,compassion: person: small: wet,water"
,Bethlehem,EA45,"born,birth: land ,ground,earth: beginning,start: person"
,Bethphage,E348,right: village: many: neighbor: house: near
,Bethsaida,E340,"harvest: hand: grain,wheat: village: many: neighbor,house,near"
,Bethuel_city,E1E0,OT: man: clean: water: good: village: many: neighbor: house: near
,Bethuel_man,E1A0,OT: man: clean: water: good
,betray,E195,"no,not: love,compassion: good: measure"
,betrayal,E195,"no,not: love,compassion: good: measure"
,better,E09E,good: many
,between,E118,thing: stick
,Bible,E22C,"book,read,learn: cross"
,big,E120,
,Bilhah,EEFA,"Woman: strong: hand: ability,can.power: big: knife,cut"
,Bilhan,EFEB,"Man: humility,humble: small,few: mouth,said,speak,confession: I,me"
,bird,E25C,
,Birsha,EDC5,"Man: bad: no,not: good: forward,to"
,birth,E235,"beginning,start: person"
,Bithynia,EB48,"break: knife,cut: all,whole: land,ground,earth"
,bitter,ECD2,"Bad: no,not: good: tongue: mouth,said,speak,confession: fabric,clothing"
,black,EB86,"color: moon,night"
,blaspheme,E05B,"Mouth,said,speak,confessiom: bad: no,not: good: king,crown,ruler,lord,master: man: love,compassion"
,blasphemy,E05B,"mouth,said,speak: no,not: good: crown,ruler,king,lord: man: love,compassion"
,Blastus,EB8D,"man: small,few: plant,tree,wood"
,blemish,ED01,
,bless,E05C,"mouth,said,speak: gift: hand: love,compassion"
,blessed,EA21,"happy,joy: many"
,blessing,E05C,"mouth,said,speak: gift: hand: love,compassion"
,blind,E192,"no,not: eye,see"
,blood,E087,"hand: wet,water"
,blue,ECDA,"River,stream: color"
,boast,E14B,"big: mouth,said,speak: me,i"
,boat,E265,
,Boaz,EA54,"man: very: forward,to"
,body,E143,person
,bone,E0B2,
,book,E22A,
,born,E235,"beginning,start: person"
,bottom,E119,thing
,bound,E25F,
,bow,E210,face: down
,bow_arrow,ECC8,"String: war,battle,fight"
