,Amal,e75a,1 Chron 7:35
,Amalek_man,efe9,Gen 36:12
,Amam,e4d2,Josh 15:26
,Amariah,e526,Zeph 1:1
,Amasa,e961,1 Kgs 2:5
,Amasai,e661,1 Chr 6:25
,Amashsai,e880,Neh 11:13
,Amasiah,e783,2 Chron 17:16
,amazed,e14a,
,Amaziah,e450,2 Kgs 12:21
,ambassador,ebfd,
,amen,e100,
,Amittai,e1cf,Jonah 1:1
,Ammah,e6d3,2 Sam 2:24
,Ammiel,e2ad,Num 13:12
,Ammihud,e2ae,Num 1:10
,Amminadab,ea51,Matt 1:4
,Ammishaddai,e2af,Num 1:12
,Ammizabad,e87c,1 Chron 27:6
,Ammon,edae,Gen 19:38
,Amnon,e727,1 Chron 3:1
,Amok,e881,Neh 12:20
,Amon,ea64,Matt 1:10
,Amorites,edaf,Gen 10:16
,Amos,ec47,Amos
,Amoz,e5ca,Isa 1:1
,Amphipolis,eb2e,Acts 17:1
,Ampliatus,ebb9,Rom 16:8
,Amram,e2df,Exod 6:18
,Amraphel,edb1,Gen  14:1
,Anab,e4d3,Josh 15:50
,Anah,e0ba,Gen 36:2
,Anaharath,e59b,Jos 19:19
,Anak,e2b0,Num 13:22
,Anam,edb2,Gen 10:13
,Anan,e882,Neh 10:26
,Anani,e702,1 Chron 3:2
,Ananiah,e883,Neh 3:23
,Ananias,eb65,Acts 23:2
,Anath,e56e,Judg 5:6
,Anathoth_man,e75b,1 Chron 7:8
,Anathoth_village,e4f8,Josh 21:18
,ancestor,ec80,
,and,e11c,
,Andrew,e357,Matt 4:18
,Andronicus,ebba,Rom 16:7
,Aner_man,edb3,Gen  14:13
,angel,e0a7,
,anger,e204,
,Aniam,e75c,1 Chron 7:19
,Anim,e4d4,Josh 15:50
,animal,e102,
,Anna,eb02,Luke 2:36-38
,Annas,eb63,Acts 4:6
,anointed,e033,
,another,ebf2,
,Anthothijah,e662,1 Chr 8:24
,Antichrist,ed0e,1 John 4:3
,Antioch,eb58,Acts 6:5
,Antipas,ec01,Rev 2:13
,Antipatris,eb9a,Acts 23:31
,Anub,e703,1 Chron 4:8
,Apelles,ebbb,Rom 16:10
,Aphek,e43c,Josh 12:18
,Aphekah,e4d5,Josh 15:53
,Aphiah,e6cc,1 Sam 9:1
,Apollonia,eb30,Acts 17:1
,Apollos,eb3e,Acts 18:24
,apostle,ebef,
,Appaim,e75d,1 Chron 2:30
,Apphia,ecf1,Phil 1:2
,appointed,e041,
,Aquila,eb17,Acts 18:2
,Ar,e3a2,Num 21:15
,Ara,e75e,1 Chron 7:38
,Arab,e4d6,Josh 15:52
,Arabia,eb77,Gal 1:17
,Arad_man,e3a3,1 Chr 8:15
,Arad_village,e3e7,Num 33:40
,Arah_land,e545,Josh 13:4
,Arah_man,e75f,1 Chron 7:39
,Aram_man,edb4,Gen 10:22
,Aran,e0fa,Gen 36:28
,Ararat,edb5,Gen 8:4
,Araunah,e7f4,2 Sam 23:16
,Archippus,ece7,Col 4:17
,Ard,e0ff,Gen 46:21
,Ardon,e760,1 Chron 2:18
,Areli,efac,Gen 46:16
,Areopagus,ec35,Acts 17:19
,Aretas,eca6,2 Cor 11:32
,Argob_land,e495,Deut 3:4
,Argob_man,e71e,2 Kgs 15:25
,argument,e057,
,Arieh,e6a3,2 Kgs 15:25
,Ariel,e7fe,1 Chron 11:22
,Arimathea,e34d,Matt 27:57
,Arioch,edb6,Gen  14:1
,arise,e322,
,Aristarchus,ec10,Acts 20:3
,Aristobulus,ebbc,Rom 16:10
,Arkites,edb7,Gen 10:17
,arm,e14e,
,Armoni,e752,2 Sam 21:8
,armor,ebbd,
,Arnan,e704,1 Chron 3:21
,Arni,ec52,Luke 3:33
,Arnon,e2f5,Num 21:13
,Arodi,e168,Gen 46:16
,Aroer,e3c5,Num 32:34
,around,e31b,
,Arpad,e615,2 Kgs 18:34
,Arphaxad,ec53,Luke 3:36
,arrow,ecbf,
,Artaxerxes,e884,Neh 2:1
,Artemas,ec34,Acts 19:24
,Arubboth,e962,1 Kgs 4:10
,Arumah,e56f,Judg 9:40
,Arvad,edb8,Gen 10:18
,Arza,e690,1 Kgs 16:9
,Asa,ea5c,Matt 1:7
,Asahel,e6d4,2 Sam 2:18
,Asaiah,e5f9,1 Chr 9:5
,Asaph,e5fa,1 Chr 9:19
,Asarel,e705,1 Chron 4:16
,Asenath,efad,Gen 41:45
,ash,ea90,
,ashamed,e05f,
,Ashan,e4d7,Josh 15:42
,Asharelah,e87d,1 Chron 25:2
,Ashbel,efae,Gen 46:21
,Ashdod,e451,Josh 11:22
,Asher_land,e606,Josh 17:7
,Asher_man,ebde,Gen 30:13
,Asherah,e0bc,Exod 34:13
,Ashhur,ebdd,1 Chr 2:24
,Ashkelon,e452,Judg 1:18
,Ashkenaz,edb9,Gen 10:3
,Ashnah,e4d8,Josh 15:33
,Ashpenaz,e867,Dan 1:3
,Ashtaroth,e429,Josh 9:10
,Ashtiroth_Karnaim,edba,Gen 14:5
,Ashur_land,e0ef,Josh 17:7
,Ashur_man,edbb,Gen 10:22
,Ashurbanipal,e923,Ezra 4:10
,Ashvath,e761,1 Chron 7:33
,Asia,eb6f,Acts 6:9
,Asiel,e706,1 Chron 4:35
,Asnah,e827,Ezra 2:50
,Asriel,e3a4,Num 26:31
,Asshurites,e1ef,Gen 25:3
,Assir,e2bf,Exod 6:24
,Assos,eb20,Acts 20:13
,assurance,e070,
,Assyria,edbc,Gen 10:11
,Asyncritius,ebbe,Rom 16:14
,Atad,efaf,Gen 50:10
,Atarah,e762,1 Chron 2:25
,Ataroth,e3c6,Num 32:3
,Ataroth_Addar,e465,Josh 16:5
,Ataroth_Shophan,e3c7,Num 32:35
,Ater,e828,Ezra 2:16
,Athaiah,e885,Neh 11:4
,Athaliah_man,e663,1 Chr 8:26
,Athaliah_woman,e616,2 Kgs 11:1
,Atharim,e3a5,Num 21:1
,Athens,eb07,Acts 17:15
,Athlai,e924,Ezra 10:28
,Attai,e750,2 Chron 11:20
,Attalia,eb31,Acts 14:25
,authority,e034,
,avenge,ed0c,
,Avith,efea,Gen 36:35
,Avvites,e496,2 Kgs 17:31
,awake,ec54,
,away,e11e,
,Awel_Marduk,e7cc,2 Kgs 25:27
,Azaliah,e68a,2 Kgs 22:3
,Azaniah,e886,Neh 3:23
,Azarel,e7ff,1 Chron 12:6
,Azariah,e972,1 Chron 2:7
,Azaziah,e763,1 chron 15:21
,Azekah,e42a,Josh 10:10
,Azel,e5fb,1 Chr 9:43
,Azgad,e829,Ezra 2:12
,Aziza,e8d9,Ezra 10:27
,Azmaveth_man,e5fc,1 Chr 9:42
,Azmaveth_village,e5c7,Ezra 2:29
,Azmon,e3da,Num 34:5
,Azor,ea6c,Matt 1:14
,Azotus,eb7e,Acts 8:40
,Azriel,e628,1 Chr 5:24
,Azrikam,e5fd,1 Chr 9:14
,Azubah,e69c,1 Kgs 22:42
,Azzan,e3e2,Num 34:26
,Azzur,e887,Neh 10:17
,Baal,ebbf,Rom 11:4
