,burden,,ec86,Heavy: weigh: hand: big: measure: person
,burn,burnt burn,ecd0,"Kill,destroy,destruction: knife,cut: person: fire,hot,heat"
,bury,,e0d7,"straight: dead,death,die: no,not: heart"
,but,,e11a,"thing: clothing,fabric"
,buy,spend buy,e32a,"forward,to: money,wealth,wealthy"
,Buz,,e1a5,"Man: least: very: small,few: know,knowledge"
,Caesar,,e370,"man: big: king,lord,ruler,master"
,Caesarea,,e346,"Big: king,ruler,lord,master: land,ground,earth,space"
,Caiaphas,,ea77,"man: crucify: kill,destroy,destruction: knife,cut: person: cross"
,Cainan,Cainan Cain Kenan,ec56,man: have: hand: .
,Calah,,edc6,"Old: no,not: new: village: many,much: neighbor: house: near,close"
,Caleb,,e2b2,"Man: dog: small,few: animal"
,call,call beckon,e040,"mouth,said,speak,confession: near,close"
,camel,,e29f,
,Cana,,eba2,"reed: big: grass: village: many,much: neighbor: house: near,close"
,Canaan_land,,e33d,"promise: mouth,said,speak,confession: work,do: land,ground,earth,space"
,Canaan_man,,edc7,"Man: promise: mouth,said,speak,confession: work,do"
,Candace,,eb85,"woman: king,lord,ruler,master"
,Capernaum,,e33a,"soft: village: many,much: neighbor: house: near,close"
,Caphtorites,,edc8,Fruit: people
,Cappadocia,,eb74,"horse: land,ground,earth,space"
,careful,warn careful,e19e,"small,few: heart"
,Carmel,,e43d,
,carpenter,,e14f,"person: hand: thing: tree,plant,wood"
,Carpus,,ecad,"Man: cloak: big: clothing,fabric"
,case,trial case,ec87,"justice: forward,to: hand: same,equal: land,ground,earth,space:"
,catch,,e115,thing: net
,Cauda,Clauda Cauda,ec36,"no,not: walk: island: water,wet: land,ground,earth,space"
,cave,,eda6,Hole: mountain
,Cenchrea,,eb3d,"small,few: village: many,much: neighbor: house: near,close"
,census,,e0b8,"person: book,read,learn: number"
,centurion,,eb7a,"lead,leader,manage: forward,to: person: war,fight,battle"
,ceremony,,ec88,"part,some: believe,faith: know,knowledge: cross: time,when"
,chain,bound arrest chain imprisoned,e25f,
,chair,sit chair,e298,
,Chaldea,,eb0e,"river,stream: land,ground,earth,space"
,change,turn change,e31e,
,chapter,,e230,"book,read,learn: part,some"
,chariot,,ec82,"horse: chair,sit"
,Chemosh,,e3a8,"Fast_speed: very: forward,to: spirit: no,not: person"
,chew_cud,,e2da,"Mouth,said,speak: grass"
,child,,e200,"small,few: person"
,children,,e201,"small,few: people"
,Chios,,eb22,"island: water,wet: land,ground,earth,space: cold: no,not: fire,heat,hot"
,Chloe,,ebe2,"woman: grain,wheat"
,choose,,e021,"love,compassion: or"
,Chorazin,,ea8f,"bad: no,not: good: fire,heat,hot: village: many,much: neighbor: house: near,close"
,Christ,Messiah Christ,e334,"very: anointed: king,ruler,lord,master: appointed: call,beckon: mouth,said,speak,confession: near,close: person"
,Christian,Christian Believer,eb90,"follow: people: forward,to: king,lord,ruler,master: cross"
,Chronicles,,e419,
,church,,ebfc,cross: people
,Chuza,,ec57,"man: small,few: mouth,speak,said,confession"
