"","Aaron","eb0d"
"","glory","e217"
"","gluttony","ea8c"
"","go","e381"
"","go_down","e080"
"","Goah","e904"
"","goat","ea7d"
"","God","e036"
"","godly","e130"
"","Gog_land","ecf7"
"","Gog_man","e62b"
"","Goiim","ede2"
"","Golan","e468"
"","gold","eb2a"
"","Golgotha","e34b"
"","Goliath","e462"
"","Gomer_man","ede3"
"","Gomer_woman","e596"
"","Gomorrah","ea7a"
"","gong","ebe5"
"","good","e096"
"","Goshen","efbf"
"","gospel","e22b"
"","governor","e0a3"
"","Gozan","e619"
"","grace","e01f"
"","grain","e279"
"","grape","ecf4"
"","grass","ea33"
"","grateful","e20e"
"","Greece","e345"
"","greed","ea94"
"","green","ecd1"
"","greeting","e051"
"","grey","e611"
"","grind","e83d"
"","groom","e013"
"","grow","e154"
"","guard","e0c1"
"","guilt","ea84"
"","Guni","efc1"
"","Gur","e61a"
"","Haahashtari","e6ec"
"","Habaiah","e837"
"","Habakkuk","e95f"
"","Habazziniah","e905"
"","Habor","e62c"
"","Hadad","efa2"
"","Hadadezer","e5d1"
"","Hadar","e1af"
"","Hadashah","e50a"
"","Hadid","e838"
"","Hadlai","e2f6"
"","Hadoram","ede4"
"","Hadrak","e6c5"
"","Haeleph","e650"
"","Hagab","e83e"
"","Hagabah","e83f"
"","Hagar","ecab"
"","Haggai","e48c"
"","Haggedolim","e893"
"","Haggi","efc2"
"","Haggiah","e66e"
"","Haggith","e4b2"
"","hail","ea13"
"","hail_storm","ecdd"
"","hair","e208"
"","Hakaliah","e894"
"","Hakilah","e6cf"
"","Hakkatan","e8dc"
"","Hakkoz","e6ed"
"","Hakupha","e840"
"","Halah","e61b"
"","half","ea22"
"","Halhul","e50b"
"","Hali","e5a6"
"","Hallohesh","e895"
"","Ham_man","ede5"
"","Ham_village","ede6"
"","Haman","e4a0"
"","Hamath","e716"
"","Hamathites","ede7"
"","Hammath_man","ef30"
"","Hammedatha","e47f"
"","Hammoleketh","e774"
"","Hammoth_Dor","e502"
"","Hammuel","e6ee"
"","Hamor","eb5d"
"","Hamul","efc3"
"","Hamutal","e6aa"
"","Hanamel","e906"
"","Hanan","e5df"
"","Hananel","e896"
"","Hanani","e692"
"","Hananiah","e66f"
"","hand","e071"
"","Hannathon","e5a7"
"","Hanniel","e3e5"
"","Hanun","e71a"
"","Hapharaim","e5a8"
"","Happizzez","e7d4"
"","happy","e205"
"","Hara","e62d"
"","Haradah","e3de"
"","Haran_land","eb0b"
"","Haran_man","efa4"
"","Harbona","e38f"
"","hard","e269"
"","Hareph","e775"
"","Harhaiah","e897"
"","Harhas","e68b"
"","Harhur","e841"
"","Harim","e7d5"
"","Harnepher","e7b4"
"","Harod","e57c"
"","Harosheth","e57d"
"","harp","ecc6"
"","harsh","eca7"
"","Harsha","e842"
"","Harum","e6ef"
"","Harumaph","e898"
"","Haruphite","ef22"
"","Haruz","e6ab"
"","harvest","e082"
"","harvester","e139"
"","Hasadiah","e6f0"
"","Hashabiah","e5e0"
"","Hashabnah","e899"
"","Hashabneiah","e89a"
"","Hashbaddanah","e89b"
"","Hashmonah","e3df"
"","Hashubah","e6f1"
"","Hashum","e843"
"","Hassenaah","e89c"
"","Hassenuah","e5e1"
"","Hasshub","e5e2"
"","Hassophereth","e844"
"","Hasupha","e845"
"","hate","e01b"
"","Hathak","e4a1"
"","Hathath","e6f2"
"","Hatipha","e846"
"","Hatita","e847"
"","Hattil","e848"
"","Hattush","e6f3"
"","Hauran","e8f3"
"","have","e083"
"","Havilah_land","ede8"
"","Havilah_man","effa"
"","Hazael","e456"
"","Hazaiah","e89d"
"","Hazar_Enan","e3eb"
"","Hazar_Gaddah","e50c"
"","Hazar_Shual","e50d"
"","Hazarmaveth","ede9"
"","Hazer_Hattikon","e8f4"
"","Hazeroth","e2be"
"","Hazezon_Tamar","edea"
"","Haziel","e7b5"
"","Hazo","e1b0"
"","Hazor","e441"
"","Hazzelelponi","e6f4"
"","Hazzobebah","e6f5"
"","head","e206"
"","heal","e084"
"","health","e209"
"","heart","e29a"
"","heaven","e380"
"","heavy","e0e7"
"","Heber","e1b1"
"","Hebrew","ec8f"
"","Hebron_man","e478"
"","Hebron_village","edeb"
"","hedge","e28a"
"","Hegai_man","e41a"
"","hei","ee05"
"","height","ecc1"
"","heir","e018"
"","Helah","e6f6"
"","Helam","e71b"
"","Helbah","e57e"
"","Helbon","e8f5"
"","Heled","e807"
"","Helek","e3ac"
"","Heleph","e651"
"","Helez","e7b6"
"","Helkai","e89e"
"","Helkath","e503"
"","hell","e0d1"
"","Helon","e1fc"
"","help","e13a"
"","helper","e150"
"","Heman","e1b2"
"","Hemdan","eff4"
"","Hen","e8f0"
"","Hena","e61c"
"","Henadad","e849"
"","Hepher","e3ad"
"","Hephzibah","e6ac"
"","here","e212"
"","Heres","e559"
"","Heresh","e5e3"
"","Hermas","ebc4"
"","Hermes_idol","eb2f"
"","Hermes_man","ebed"
"","Hermogenes","ecb5"
"","Herod","e360"
"","Herodians","ea05"
"","Herodias","e355"
"","Herodion","ebf1"
"","Heshbon","e3ae"
"","Heshmon","e50e"
"","Heth","edec"
"","Hethlon","e8f6"
"","Hezekiah","ea62"
"","Hezion","e5d2"
"","Hezir","e7d6"
"","Hezro","e808"
"","Hezron","ea4f"
"","hide","e085"
"","Hiel","e693"
"","Hierapolis","ece9"
"","Hilkiah","e5e4"
"","hill","e202"
"","Hillel","e51e"
"","Hirah","e1b3"
"","Hiram","e5d3"
"","hire","e13b"
"","Hittites","eded"
"","Hivites","edee"
"","Hizki","e670"
"","Hobab","e1fd"
"","Hobah","edef"
"","Hod","e7b7"
"","Hodaviah","e5e5"
"","Hodesh","e671"
"","Hodiah","e6f7"
"","Hoglah","e3af"
"","Hoham","e433"
"","hole","e302"
"","Holon","e504"
"","holy","e13c"
"","Holy_Spirit","ef01"
"","honey","e052"
"","honor","e031"
"","hope","e213"
"","Hophni","e4ea"
"","Hophra","e907"
"","Hor_Haggidgad","e3ec"
"","Horam","e434"
"","Horesh","e7eb"
"","Hori","eff5"
"","Horites","edf1"
"","Hormah","e2f8"
"","horn","ecc5"
"","Horonaim","e8ba"
"","horse","e303"
"","Hosah_man","e5af"
"","Hosah_village","e581"
"","hosanna","e216"
"","Hosea","ebc5"
"","Hoshaiah","e89f"
"","Hoshama","e6f8"
"","Hotham","e7b8"
"","Hothir","e858"
"","hour","e331"
"","house","e171"
"","how","e068"
"","how_long","e83c"
"","Hubbah","e7b9"
"","Hul","edf2"
"","Huldah","e68c"
"","human_nature","e23d"
"","humble","e19d"
"","Humtah","e50f"
"","hungry","e01e"
"","Hupham","e3b0"
"","Huppah","e7d7"
"","Huppim","efc5"
"","Hur","e2e0"
"","Hurai","e809"
"","Huri","e62e"
"","husband","e012"
"","Hushah","e6f9"
"","Hushai","e96c"
"","Husham","e1b4"
"","Hushathite","e927"
"","Hushim_man","efc6"
"","Hushim_woman","e672"
"","Hymenaeus","ecaa"
"","hymn","e0e3"
"","Ibhar","e6d7"
"","Ibleam","e469"
"","Ibneiah","e5e6"
"","Ibnijah","e5e7"
"","Ibri","e7d8"
"","Ibsam","e7ba"
"","Ibzan","e51f"
"","Ichabod","e7de"
"","Iconium","ec1f"
"","Idalah","e582"
"","Idbash","e6fa"
"","Iddo","e96d"
"","idol","e35d"
"","Iezer","e3b1"
"","if","e111"
"","Igal","e1fe"
"","Igdaliah","e908"
"","ignorant","e06e"
"","Ijon","e5d4"
"","Ikkesh","e80a"
"","Illyricum","ebc6"
"","Imlah","e69d"
"","immeasurable","e18c"
"","Immer_land","e84a"
"","Immer_man","e5e8"
"","Imnah","efc7"
"","impossible","e180"
"","Imrah","e7bb"
"","Imri","e5e9"
"","in","e240"
"","in_front","e112"
"","incense","ec98"
"","India","e4a2"
"","inheritance","e017"
"","insect","e304"
"","Iob","e0ee"
"","Iphdeiah","e673"
"","Iphtah","e510"
"","Iphtah_El","e583"
"","Ir","e7d9"
"","Ir_Nahash","e6fb"
"","Ira","e71c"
"","Irad","edf3"
"","Iram","eff6"
"","Iri","e7bc"
"","Irijah","e909"
"","Iron","e584"
"","iron","eb29"
"","Irpeel","e652"
"","Iru","e6fc"
"","Isaac","e374"
"","Isaiah","e372"
"","Ishbah","e6fd"
"","Ishbak","eeda"
"","Ishbosheth","e48a"
"","Ishdod","e7bd"
"","Ishi","e62f"
"","Ishiah","e7be"
"","Ishmael","e1b5"
"","Ishmaiah","e80b"
"","Ishmerai","e674"
"","Ishpah","e675"
"","Ishpan","e676"
"","Ishvah","efc8"
"","Ishvi","efc9"
"","Iskah","eedb"
"","island","eb05"
"","Ismakiah","e91c"
"","Israel","ea04"
"","Issachar_land","ef23"
"","Issachar_man","ecce"
"","Italy","ec90"
"","Ithai","e80c"
"","Ithamar","e2e1"
"","Ithiel","e8a0"
"","Ithlah","e585"
"","Ithmah","e80d"
"","Ithnan","e511"
"","Ithran","e1b6"
"","Ithream","e6fe"
"","Ittai","e8c0"
"","Ituraea","ec3e"
"","Ivvah","e61d"
"","Iye_Abarim","e3b2"
"","Izhar","e2c1"
"","Izliah","e677"
"","Izrahiah","e7bf"
"","Izziah","e8dd"
"","Jaakobah","e6ff"
"","Jaalah","e84b"
"","Jaareshiah","e678"
"","Jaasiel","e80e"
"","Jaasu","e8de"
"","Jaazaniah","e7cd"
"","Jaaziah","e7da"
"","Jaaziel","e7c0"
"","Jabal","e1b7"
"","Jabbok","efca"
"","Jabesh_man","e6ad"
"","Jabesh_village","e4eb"
"","Jabez","e6d8"
"","Jabin","e55b"
"","Jabneel","e512"
"","Jacob","e375"
"","Jada","e7c1"
"","Jaddua","e8a1"
"","Jadon","e8a2"
"","Jael","e55c"
"","Jagur","e513"
"","Jahath","e679"
"","Jahaz","e3b3"
"","Jahaziel","e8df"
"","Jahdai","e7c2"
"","Jahdiel","e630"
"","Jahdo","e631"
"","Jahleel","efcb"
"","Jahmai","e7c3"
"","Jahzeiah","e8e0"
"","Jahzerah","e5ea"
"","Jahziel","e1b8"
"","Jair","e3cc"
"","Jairus","e367"
"","Jakeh","e6c9"
"","Jakim","e67a"
"","Jakin","e1b9"
"","Jalam","eff7"
"","Jalon","e6d9"
"","Jambres","ecbc"
"","James","e376"
"","James_the_Disciple","e358"
"","Jamin","efcc"
"","Jamlech","e6da"
"","Janai","e632"
"","Janim","e514"
"","Jannai","ec46"
"","Jannes","ecbe"
"","Janoah","e46a"
"","Japheth","edf4"
"","Japhia_man","e435"
"","Japhia_village","e586"
"","Japhlet","e46b"
"","jar","e0d5"
"","Jared","ec62"
"","Jarha","ef17"
"","Jarib","e8e1"
"","Jarmuth","e436"
"","Jaroah","e633"
"","Jashen","e7f7"
"","Jashobeam","e810"
"","Jashub","e389"
"","Jason","eb64"
"","Jathniel","e67b"
"","Jattir","e505"
"","Javan","e1ba"
"","Jazer","e38a"
"","Jaziz","e859"
"","jealous_God","e973"
"","jealous_man","e2fe"
"","Jeatherai","e67c"
"","Jeberekiah","e6c6"
"","Jebusites","e1e5"
"","Jechoniah","ea66"
"","Jedaiah","e5eb"
"","Jediael","e67d"
"","Jedidah","e8c2"
"","Jegar_Sahadutha","e1e6"
"","Jehallelel","e6db"
"","Jehdeiah","e7db"
"","Jehiah","e7c4"
"","Jehieli","e67e"
"","Jehoaddah","e67f"
"","Jehoaddan","e6af"
"","Jehoahaz","e6ae"
"","Jehohanan","e680"
"","Jehoiachin","e41b"
"","Jehoiada","e4b3"
"","Jehonadab","e6dc"
"","Jehoshaphat","ea5d"
"","Jehosheba","e61e"
"","Jehozabad","e681"
"","Jehozadak","e47e"
"","Jehu","e597"
"","Jehud","e587"
"","Jehudi","e90a"
"","Jehukal","e90b"
"","Jekameam","e7c5"
"","Jekoliah","e6b0"
"","Jekuthiel","e6dd"
"","Jemimah","ef19"
"","Jemuel","efcd"
"","Jephthah","ed04"
"","Jephunneh","e3ee"
"","Jerah","edf5"
"","Jerahmeel","e7c6"
"","Jeremiah","ea28"
"","Jeremoth","e682"
"","Jeriah","e683"
"","Jeribai","e814"
"","Jericho","ea08"
"","Jeriel","e74e"
"","Jerioth","e77e"
"","Jeroboam","e457"
"","Jeroham","e4ec"
"","Jerusalem","e338"
"","Jerushah","e6b1"
"","Jeshanah","e91d"
"","Jeshebeab","e6d5"
"","Jesher","e934"
"","Jeshishai","e634"
"","Jeshohaiah","e6de"
"","Jeshua_village","e4f4"
"","Jesimiel","e6df"
"","Jesse","ea58"
"","Jesus","e037"
"","Jether","e57f"
"","Jetheth","eff8"
"","Jethro","e0cc"
"","Jetur","eedc"
"","Jeuel","e5ec"
"","Jeush","e1bb"
"","Jeuz","e935"
"","Jew","e0f9"
"","Jezaniah","e90c"
"","Jezebel","eca2"
"","Jezer","e1bc"
"","Jeziel","e815"
"","Jezreel_man","e598"
"","Jezreel_village","e46c"
"","Jidlaph","efce"
"","Joab","e4b4"
"","Joah","e61f"
"","Joanan","ec4c"
"","Joanna","ec63"
"","Joash","e458"
"","Job","ed0b"
"","Jobab","edf6"
"","Jochebed","e2c4"
"","Joda","e91f"
"","Joed","e8a3"
"","Joel","ec92"
"","Joelah","e816"
"","Joezer","e817"
"","Jogbehah","e3cd"
"","Jogli","e3ef"
"","Joha","e936"
"","Johanan","e937"
"","John","e35a"
"","John_the_Baptist","e336"
"","Johozadak","e494"
"","Joiakim","e8a4"
"","Joiarib","e8a5"
"","Jokdeam","e515"
"","Jokim","e6e0"
"","Jokneam","e442"
"","Jokshan","eedd"
"","Joktan","e1bd"
"","Joktheel","e516"
"","Jonah","e0c5"
"","Jonah_Simons_father","ea29"
"","Jonam","ec9b"
"","Jonathan","e48b"
"","Joppa","ec2d"
"","Jorah","e84c"
"","Jorai","e635"
"","Joram","ea5e"
"","Jordan_River","e34f"
"","Jorim","ec64"
"","Jorkeam","e7af"
"","Joseph","ea15"
"","Joses","e369"
"","Joshah","e6e1"
"","Joshaviah","e818"
"","Joshbekashah","e85a"
"","Joshibiah","e6e2"
"","Joshua_man","eb03"
"","Josiah","ea65"
"","Jotbathah","e3f0"
"","Jotham","eb82"
"","Jubal","edf7"
"","Judah_land","e426"
"","Judah_man","ea4b"
"","Judas","e368"
"","Judas_Iscariot","e365"
"","Judea","e339"
"","judge","e1a2"
"","Judith","edf8"
"","Julia","ebc7"
"","Julius","ec07"
"","jump","ed0a"
"","Junia","ebc8"
"","Jushab_Hesed","e6e3"
"","justice","ea25"
"","justify","eb4f"
"","Justus","eb6a"
"","Juttah","e506"
"","Kabbon","e517"
"","Kabul","e588"
"","Kabzeel","e518"
"","Kadesh","edf9"
"","Kadmiel","e84d"
"","Kadmonites","efd1"
"","Kain","e519"
"","Kalkol","e96e"
"","Kallai","e8a6"
"","Kalneh","edfa"
"","Kamon","e520"
"","Kanah_brook","e46d"
"","Kanah_village","e46e"
"","Kareah","e7ce"
"","Karka","e51a"
"","Karkor","e580"
"","Karmi","efd2"
"","Kartah","e653"
"","Kasiphia","e8e2"
"","Kasluhites","edc9"
"","Kattath","e589"
"","Kebar_Canal","e8f7"
"","Kedar","eede"
"","Kedemah","eedf"
"","Kedemoth","e49a"
"","Kedorlaomer","edfb"
"","keep","e099"
"","Kehelathah","e3f1"
"","Keilah_man","e6e4"
"","Keilah_village","e51b"
"","Kelal","e8e3"
"","Kelita","e8a7"
"","Kelub","e6e5"
"","Keluhi","e8e4"
"","Kemuel","efd3"
"","Kenaanah","e69f"
"","Kenani","e8a8"
"","Kenaniah","e938"
"","Kenath","e3ce"
"","Kenaz","efd4"
"","Kenites","efd5"
"","Kephar_Ammon","e654"
"","Kephirah","e437"
"","Keran","eff9"
"","Keren_Happuch","ef14"
"","Kerethites","e52e"
"","Kerioth","e459"
"","Kerith","e694"
"","Keros","e84e"
"","Kerub","e84f"
"","Kesed","efd6"
"","Kesil","e52f"
"","Keturah","eee1"
"","key","ea9d"
"","Keziah","ef12"
"","Kezib","e1bf"
"","Kibroth_Hattaavah","e2a0"
"","Kibzaim","e655"
"","Kidon","e636"
"","Kidron_Valley","eba6"
"","Kilion","e41f"
"","kill","e141"
"","Kilmad","e921"
"","Kimham","e7f8"
"","Kinah","e530"
"","kind_nice","e01c"
"","king","e028"
"","kingdom","e02f"
"","Kinnereth","e3f2"
"","Kir","e45a"
"","Kiriath_Huzoth","e2f9"
"","Kiriath_Jearim","e438"
"","Kish","eb49"
"","Kishi","e65e"
"","Kishion","e4e0"
"","Kishon","e55d"
"","Kislon","e3f3"
"","Kisloth_Tabor","e58a"
"","kiss","e0e8"
"","Kitlish","e531"
"","Kitron","e55e"
"","Kittim_man","edfc"
"","kneel","e138"
"","knife","e24e"
"","knock","eb8b"
"","know","e062"
"","Kohath","efd8"
"","Kol_Hozeh","e8aa"
"","Kolaiah","e8a9"
"","Konaniah","e813"
"","Korah","ecf3"
"","Kozbi","e3d1"
"","Kozeba","e6e6"
"","Kuthah","e6b3"
"","Laadah","e6e7"
"","Laban","edfd"
"","Lachish","e439"
"","Ladan","e939"
"","Lael","e2a1"
"","Lahad","e6e8"
"","Lahmas","e532"
"","Lahmi","e6e9"
"","Laish_man","e3ea"
"","Laish_village","e55f"
"","lake","ec65"
"","Lakkum","e58b"
"","Lamech","ec66"
"","lamp","e164"
"","lampstand","e281"
"","land","e153"
"","language","ea23"
"","Laodicea","ebf9"
"","Lappidoth","e560"
"","Lasea","ec16"
"","Lasha","e1c0"
"","Lasharon","e443"
"","last","e234"
"","late","e225"
"","Latin","eba8"
"","laugh","e224"
"","law","e22f"
"","Lazarus","ec67"
"","lead","e137"
"","leaf","e0b3"
"","Leah","efd9"
"","lease","e175"
"","least","e397"
"","leather","e255"
"","leave","e243"
"","leaven","e32d"
"","Lebanah","e850"
"","Lebanon","e599"
"","Lebaoth","e533"
"","Lebo_Hamath","e2a2"
"","Lebonah","e561"
"","left","e0f4"
"","leg","ebe0"
"","Legion","e366"
"","Lehabites","e1c1"
"","Lehi","e562"
"","Lekah","e6ea"
"","Lemuel","e6ca"
"","length","ecc2"
"","leopard","ecf8"
"","leprosy","e382"
"","letter","eb84"
"","Letush","eee2"
"","Leummim","eee3"
"","Levi","eb1b"
"","Levi_Matthew","e35c"
"","Libnah","e3f4"
"","Libni","e2e2"
"","Libya","eb73"
"","lift","e081"
"","light","e0c2"
"","lightning","ea88"
"","Likhi","e7ad"
"","linen","ea20"
"","Linus","ecb0"
"","lion","ecb6"
"","Lo_Debar","e45b"
"","locust","ecd4"
"","Lois","ecb7"
"","looks_like","ebcd"
"","lost","e089"
"","Lot","ebdc"
"","Lotan","effb"
"","lots","ea16"
"","loud","ebe8"
"","love","e01a"
"","lower_adj","e324"
"","Lucius","ec93"
"","Lud","e1c2"
"","Ludites","e1ea"
"","Luke","eb68"
"","lunatic","e06d"
"","lust","e239"
"","Luz","edfe"
"","Lycaonia","eb51"
"","Lycia","ec13"
"","Lydda","ec2e"
"","Lydia","eb50"
"","Lysanias","ec40"
"","Lysias","ec37"
"","Lystra","eb44"
"","Maadai","e8e5"
"","Maai","e8ab"
"","Maakah_man","efda"
"","Maakah_woman","e2d8"
"","Maakath_land","e483"
"","Maakath_man","e49c"
"","Maasai","e5ed"
"","Maaseiah","e79e"
"","Maath","ec4b"
"","Maaz","e79f"
"","Maaziah","e7ae"
"","Macedonia","ec0d"
"","Machir_man","e2d1"
"","Machpelah","eee4"
"","Madai","edff"
"","Madmannah_man","e7a1"
"","Madmannah_village","e534"
"","Madmenah","e717"
"","Madon","e444"
"","Magadan","ea30"
"","Magbish","e851"
"","Magdiel","effc"
"","magician","ec8a"
"","Magog_land","ecf9"
"","Magog_man","eea1"
"","Magpiash","e8ac"
"","Mahalalel","ec68"
"","Mahalath","eea2"
"","Mahanaim","efdb"
"","Mahaneh_Dan","e563"
"","Maharai","e819"
"","Mahazioth","e85b"
"","Mahlah_man","e7ac"
"","Mahlah_woman","e38c"
"","Mahli","e2c5"
"","Mahlon","e420"
"","Mahol","e96f"
"","Mahseiah","e90d"
"","Makaz","e970"
"","Makbannai","e81a"
"","Makbenah","e7a0"
"","make","e076"
"","Makheloth","e3f5"
"","Maki","e2a3"
"","Makir","e46f"
"","Makkedah","e414"
"","Maknadebai","e8e6"
"","Malachi","e7ef"
"","Malchus","ebb7"
"","Malkam","e93a"
"","Malki_Shua","e4ed"
"","Malkiel","efcf"
"","Malkijah","e5ee"
"","Malkiram","e6eb"
"","Mallothi","e85c"
"","Malluk","e93b"
"","Malta","ec19"
"","Mamre","eea3"
"","man","e000"
"","Manaen","eb40"
"","Manahath_man","e1c3"
"","Manahath_village","e93c"
"","Manasseh_land","e470"
"","Manasseh_man","ea63"
"","manna","eba9"
"","Manoah","e564"
"","many","e198"
"","Maon_man","e47c"
"","Maon_village","e521"
"","Marah","e0cd"
"","Maralah","e58c"
"","Marduk_Baladan","e6b4"
"","Mareshah_man","e979"
"","Mareshah_village","e493"
"","Mark","e371"
"","market_place","e02e"
"","Maroth","e3b6"
"","marriage","e010"
"","Martha","ec69"
"","Mary","e354"
"","Mary_Magdalene","e353"
"","Mashal","e93d"
"","Masrekah","effd"
"","Massa","eee5"
"","Massah","e2c3"
"","Matred","effe"
"","Mattan","e620"
"","Mattanah","e38d"
"","Mattaniah","e5ef"
"","Mattatha","ec9c"
"","Mattathias","ec9d"
"","Mattattah","e8e7"
"","Mattenai","e8ad"
"","Matthan","ea71"
"","Matthat","ed12"
"","Matthew","eb04"
"","Mattithiah","e1c4"
"","mature","e236"
"","me","e166"
"","Me_Jarkon","e58d"
"","Me_Zahab","efff"
"","meaning","ecfa"
"","measure","e305"
"","Medad","e2a4"
"","Medan","eee7"
"","Medeba","e38e"
"","Media","eb70"
"","Megiddo","ecfb"
"","Mehetabel_man","ee10"
"","Mehetabel_woman","eff0"
"","Mehida","e852"
"","Mehir","e729"
"","Mehujael","eea4"
"","Mekonah","e8ae"
"","Melatiah","e8af"
"","Melchi","ec45"
"","Melchizedek","ed05"
"","Melea","ec6a"
"","Melek","e5f0"
"","member","e174"
"","Memphis","e7cb"
"","Menahem","e6b5"
"","Menna","ec6b"
"","Meonothai","e72a"
"","Mephaath","e4e1"
"","Mephibosheth","e527"
"","Merab","e7ec"
"","Meraiah","e8b0"
"","Meraioth","e637"
"","Merari","efdc"
"","mercy","e01d"
"","Mered","e72b"
"","Meremoth","e8b1"
"","Meribah","e2c7"
"","Merom","e58e"
"","Meronoth","e85d"
"","Meroz","e565"
"","Mesha_land","eea5"
"","Mesha_man","e93e"
"","Meshech_land","e87e"
"","Meshech_man","eea6"
"","Meshezabel","e8b2"
"","Meshillemith","e638"
"","Meshobab","e72c"
"","Meshullam","e639"
"","Meshullemeth","e6b6"
"","Mesopotamia","eb72"
"","messenger","e136"
"","metal","eb28"
"","Methuselah","ec6c"
"","Methushael","eea7"
"","Mibsam","eee6"
"","Mibzar","e1c5"
"","Micah","e522"
"","Micaiah","e68d"
"","Michael_angel","ece1"
"","Michael_man","e2a5"
"","Michal","e7ed"
"","Michmash","e7df"
"","Middin","e535"
"","Midian_land","eb0f"
"","Midian_man","e1eb"
"","Migdal_El","e58f"
"","Migdalgad","e536"
"","Migdol","e0ce"
"","Migron","e7e0"
"","Mijamin","e7b0"
"","Mika","e528"
"","Mikloth","e63a"
"","Mikmethath","e471"
"","Mikneiah","e7a2"
"","Mikri","e63b"
"","Milalai","e8b3"
"","Miletus","eb23"
"","milk","eca3"
"","Milkah","eee8"
"","million","ecd9"
"","mind","e06c"
"","Miniamin","e8b4"
"","Minni","e910"
"","Minnith","e566"
"","miracle","e095"
"","Miriam_man","e72d"
"","Miriam_woman","e385"
"","Mirmah","e93f"
"","mirror","ebe6"
"","Mishael","e2dc"
"","Mishal","e4e2"
"","Misham","e940"
"","Mishma","e1c6"
"","Mishmannah","e81b"
"","Mispar","e8d1"
"","Mispereth","e8b5"
"","Misrephoth_Maim","e54a"
"","Mithkah","e3f6"
"","Mithredath","e8d2"
"","Mitylene","eb21"
"","Mizpah","e2cf"
"","Mizraim","eea8"
"","Mizzah","e1c7"
"","Mnason","eb26"
"","Moab_land","e2fa"
"","Moab_man","eea9"
"","Moadiah","e8b6"
"","mock","ea12"
"","Moladah","e537"
"","Molech","ec26"
"","Molid","e7a3"
"","money","e029"
"","month","e34c"
"","moon","e272"
"","Mordecai","e4a3"
"","more","e199"
"","Moreh","eeaa"
"","Moresheth","e4a9"
"","Moriah","efdd"
"","morning","e163"
"","Moserah","e485"
"","Moseroth","e3f7"
"","Moses","e35b"
"","most","e229"
"","mother","e00b"
"","Mount_Carmel","e45c"
"","Mount_Ebal","e415"
"","Mount_Ephron","e90f"
"","Mount_Gerizim","e416"
"","Mount_Gilboa","e4ef"
"","Mount_Halak","e44e"
"","Mount_Hermon","e49d"
"","Mount_Hor","e3b4"
"","Mount_Nebo","e486"
"","Mount_of_Olives","e351"
"","Mount_Peor","e392"
"","Mount_Perazim","e6c7"
"","Mount_Pisgah","e393"
"","Mount_Shepher","e3f8"
"","Mount_Sinai","eb5c"
"","Mount_Tabor","e567"
"","Mount_Zalmon","e568"
"","Mount_Zion","ecf5"
"","mountain","e306"
"","mouth","e03f"
"","move","e32f"
"","Moza","e63c"
"","Mozah","e656"
"","Muppim","efde"
"","murderer","ea10"
"","Mushi","e2c6"
"","mustard","e039"
"","mute","e050"
"","Myra","ec28"
"","myrrh","e245"
"","Mysia","eb4a"
"","mystery","e18b"
"","Naam","e72e"
"","Naamah_village","e538"
"","Naamah_woman","eeab"
"","Naaman","ec6d"
"","Naarah_village","e472"
"","Naarah_woman","e477"
"","Naarai","e81c"
"","Nabal","e7ee"
"","Naboth","e695"
"","Nadab","e2e3"
"","Naggai","ec4a"
"","Nahalal","e4e3"
"","Nahaliel","e394"
"","Naham","e72f"
"","Nahamani","e8b7"
"","Naharai","e81d"
"","Nahash","e7e1"
"","Nahath","e1c8"
"","Nahbi","e2a6"
"","Nahor","ec6e"
"","Nahshon","ea52"
"","Nahum","ec48"
"","nail","ebaa"
"","Nain","ea48"
"","Nakon","e916"
"","name","e04f"
"","Naomi","e421"
"","Naphish","eee9"
"","Naphoth_Dor","e971"
"","Naphtali_land","e5d6"
"","Naphtali_man","ea40"
"","Naphtuh","eeac"
"","Narcissius","ebc9"
"","Nathan","ec6f"
"","Nathan_Melek","e6b7"
"","Nazareth","e34e"
"","Nazarite","e395"
"","Neah","e590"
"","Neapolis","eb4e"
"","near","e300"
"","Neariah","e730"
"","Nebai","e8b8"
"","Nebaioth","eead"
"","Neballat","e86e"
"","Nebat","e5d7"
"","Nebo_idol","e917"
"","Nebo_Sarsekim","e912"
"","Nebo_village","e3f9"
"","Nebuchadnezzar","e41c"
"","Nebushazban","ef25"
"","Nebuzaradan","e8c3"
"","Necho","e6b8"
"","neck","e0d3"
"","Nedabiah","e731"
"","need","e07f"
"","needle","e078"
"","Negev","eeae"
"","Nehemiah","e98a"
"","Nehushta","e6b9"
"","Neiel","e591"
"","neighbor","e173"
"","Nekoda","e8d3"
"","Nemuel","e396"
"","Nepheg","e2e4"
"","Nephtoah","e539"
"","Nephusim","e869"
"","Ner","e5c6"
"","Nereus","ebca"
"","Nergal_Sharezer","e911"
"","Neri","ec70"
"","Neriah","e913"
"","nest","e399"
"","net","e307"
"","Netaim","e732"
"","Nethanel","e2ff"
"","Nethaniah","e785"
"","Netophah","e7a4"
"","new","e308"
"","Neziah","e8d4"
"","Nezib","e53a"
"","Nibshan","e53b"
"","Nicanor","eb55"
"","Nicodemus","ebab"
"","Nicolaus","eb56"
"","Nicopolis","ed08"
"","Nile","efdf"
"","Nimrah","e3cf"
"","Nimrod","eeaf"
"","Nimshi","e5d8"
"","nine","e294"
"","Nineveh","e0c6"
"","no","e17c"
"","Noadiah_man","e2f3"
"","Noadiah_woman","e86a"
"","Noah_man","ea43"
